word,display,list_number
banks (money),Slider,8
board (enter),Slider,8
book (reserve),Slider,8
bright (smart),Slider,8
camp (effeminate),Slider,8
cast (actors),Slider,8
catch (restraint),Slider,8
coke (cocaine),Slider,8
cool (temperature),Slider,8
couple (romantic pair),Slider,8
crank (grouch),Slider,8
deck (cards),Slider,8
down (fur),Slider,8
draw (attract),Slider,8
dress (skirt),Slider,8
fare (charge),Slider,8
file (tool),Slider,8
fire (employment),Slider,8
grain (wheat),Slider,8
key (lock),Slider,8
lumber (move slowly),Slider,8
magazine (publication),Slider,8
mark (grade),Slider,8
mask (face),Slider,8
peer (colleague),Slider,8
plant (factory),Slider,8
poach (hunt),Slider,8
point (finger),Slider,8
prune (fruit),Slider,8
puzzle (mystery),Slider,8
quack (duck),Slider,8
racket (tennis),Slider,8
range (array),Slider,8
rash (reckless),Slider,8
record (information),Slider,8
sage (wise man),Slider,8
set (determined),Slider,8
sex (gender),Slider,8
shoot (film),Slider,8
slug (hit),Slider,8
solution (chemical),Slider,8
spirit (drink),Slider,8
spirit (soul),Slider,8
spring (season),Slider,8
staple (mainstay),Slider,8
stem (plant),Slider,8
stock (soup),Slider,8
stone (rock),Slider,8
tank (storage),Slider,8
trainer (coach),Slider,8
upset (unbalance),Slider,8
